X,Y
13,3
12,3
11,3
10,3
9,3
8,3
7,3
7,4
7,5
7,6
7,7
7,8
7,9
8,9
9,9
10,9
11,9
12,9
13,9
14,9
15,9
16,9
17,9
18,9
19,9
20,9
21,9
22,9
22,10
22,11
22,12
22,13
21,13
20,13
19,13
18,13
17,13
16,13
15,13
14,13
13,13
12,13
11,13
10,13
9,13
8,13
7,13
6,13
5,13
4,13
3,13
,
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
22,4
21,4
20,4
19,4
18,4
17,4
16,4
16,5
16,6
16,7
16,8
16,9
16,10
16,11
16,12
15,12
14,12
13,12
12,12
11,12
10,12
9,12
8,12
7,12
6,12
6,11
6,10
6,9
6,8
6,7
6,6
6,5
6,4
6,3
5,3
4,3
3,3
,
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
22,4
22,5
22,6
22,7
22,8
22,9
22,10
22,11
22,12
21,12
20,12
19,12
18,12
17,12
16,12
15,12
14,12
13,12
12,12
11,12
10,12
9,12
8,12
7,12
6,12
5,12
4,12
3,12
3,11
3,10
3,9
3,8
3,7
,
13,3
12,4
11,5
10,6
9,7
8,8
7,9
6,9
5,9
4,9
3,9
3,10
3,11
4,11
5,11
6,11
7,11
8,11
9,11
10,11
11,11
12,11
13,11
14,11
15,11
16,11
17,11
18,11
19,11
20,11
20,12
20,13
19,13
18,13
17,13
16,13
15,13
14,13
13,13
