X,Y,,,,,
13,7,,,,,
14,7,,,,,
15,7,,,,,
16,7,,,,,
17,7,,,,,
18,7,,,,,
19,7,,,,,
20,7,,,,,
21,7,,,,,
22,7,,,,,
23,7,,,,,
23,6,,,,,
23,5,,,,,
23,4,,,,,
23,3,,,,,
22,3,,,,,
21,3,,,,,
20,3,,,,,
19,3,,,,,
18,3,,,,,
17,3,,,,,
16,3,,,,,
15,3,,,,,
14,3,,,,,
13,3,,,,,
12,3,,,,,
11,3,,,,,
10,3,,,,,
9,3,,,,,
8,3,,,,,
7,3,,,,,
6,3,,,,,
5,3,,,,,
4,3,,,,,
3,3,,,,,
3,4,,,,,
3,5,,,,,
3,6,,,,,
3,7,,,,,
3,8,,,,,
3,9,,,,,
3,10,,,,,
3,11,,,,,
3,12,,,,,
3,13,,,,,
4,13,,,,,
5,13,,,,,
6,13,,,,,
7,13,,,,,
8,13,,,,,
9,13,,,,,
10,13,,,,,
11,13,,,,,
12,13,,,,,
13,13,,,,,
,,,,,,
13,7,,,,,
14,7,,,,,
15,7,,,,,
16,7,,,,,
17,7,,,,,
17,6,,,,,
17,5,,,,,
16,5,,,,,
15,5,,,,,
14,5,,,,,
13,5,,,,,
12,5,,,,,
11,5,,,,,
10,5,,,,,
9,5,,,,,
8,5,,,,,
7,5,,,,,
6,5,,,,,
5,5,,,,,
5,6,,,,,
5,7,,,,,
5,8,,,,,
5,9,,,,,
5,10,,,,,
5,11,,,,,
5,12,,,,,
5,13,,,,,
6,13,,,,,
7,13,,,,,
8,13,,,,,
9,13,,,,,
10,13,,,,,
11,13,,,,,
12,13,,,,,
13,13,,,,,
14,13,,,,,
15,13,,,,,
16,13,,,,,
17,13,,,,,
18,13,,,,,
19,13,,,,,
20,13,,,,,
21,13,,,,,
22,13,,,,,
23,13,,,,,
23,12,,,,,
23,11,,,,,
23,10,,,,,
23,9,,,,,
23,8,,,,,
23,7,,,,,
23,6,,,,,
23,5,,,,,
23,4,,,,,
23,3,,,,,
,,,,,,
13,7,,,,,
12,8,,,,,
11,9,,,,,
10,10,,,,,
9,11,,,,,
8,12,,,,,
7,13,,,,,
8,13,,,,,
9,13,,,,,
10,13,,,,,
11,13,,,,,
12,13,,,,,
13,13,,,,,
14,13,,,,,
15,13,,,,,
16,13,,,,,
17,13,,,,,
17,12,,,,,
17,11,,,,,
17,10,,,,,
17,9,,,,,
17,8,,,,,
17,7,,,,,
17,6,,,,,
17,5,,,,,
17,4,,,,,
17,3,,,,,
16,3,,,,,
15,3,,,,,
14,3,,,,,
13,3,,,,,
12,3,,,,,
11,3,,,,,
10,3,,,,,
9,3,,,,,
8,3,,,,,
7,3,,,,,
6,3,,,,,
5,3,,,,,
4,3,,,,,
3,3,,,,,
3,4,,,,,
3,5,,,,,
3,6,,,,,
3,7,,,,,
,,,,,,
13,7,,,,,
14,8,,,,,
15,8,,,,,
16,9,,,,,
17,10,,,,,
18,11,,,,,
19,12,,,,,
19,13,,,,,
18,13,,,,,
17,13,,,,,
16,13,,,,,
15,13,,,,,
14,13,,,,,
13,13,,,,,
12,13,,,,,
11,13,,,,,
10,13,,,,,
9,13,,,,,
8,13,,,,,
7,13,,,,,
6,13,,,,,
5,13,,,,,
4,13,,,,,
3,13,,,,,
3,12,,,,,
3,11,,,,,
3,10,,,,,
3,9,,,,,
3,8,,,,,
3,7,,,,,
3,6,,,,,
3,5,,,,,
3,4,,,,,
3,3,,,,,
4,3,,,,,
5,3,,,,,
6,3,,,,,
7,3,,,,,
8,3,,,,,
9,3,,,,,
10,3,,,,,
11,3,,,,,
12,3,,,,,
13,3,,,,,
